7.982,7.964,8.009,7.934,8.02,7.944,7.926,7.839,7.914,8.06,8.191,8.081
8.082,7.902,8.007,8.006,7.99,8.095,7.976,7.907,7.823,8.08,7.988,7.918
8.041,7.913,5.766,5.922,5.72,7.96,8.053,7.909,8.02,7.918,7.939,8.008
8.13,7.996,5.764,5.761,5.79,7.942,7.942,8.031,7.919,7.966,7.923,7.993
7.981,8.022,5.721,5.723,5.884,8.113,8.154,8.016,7.929,8.01,8.028,8.083
8.082,7.927,8.086,7.953,8.028,8.051,7.974,7.93,8.05,8.113,7.989,7.872
7.764,7.94,7.974,8.066,8.078,7.998,7.997,8.029,8.009,8.08,7.927,8.009
7.912,8.127,8.01,8.076,8.061,8.067,8.013,7.954,6.372,6.269,6.112,8.024
7.994,8.009,8.199,8.013,7.819,8.095,8.089,8.013,6.358,6.317,6.393,8.019
8.201,7.923,8.13,8.054,8.001,8.049,7.93,8.009,6.346,6.326,6.464,7.839
8.055,7.857,8.024,7.851,7.862,7.856,8.027,7.935,7.96,8.014,8.042,7.935
7.898,7.932,8.053,8.127,8.013,8.117,8.112,8.178,8.113,8.146,8.056,8.006
